Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	w0iu	name	נִֽינְוֵ֑ה	1	rc://*/tw/dict/bible/names/nineveh
1:1	ib1a		חֲז֛וֹן	1	rc://*/tw/dict/bible/other/vision
1:1	x9lw	name	נַח֖וּם	1	rc://*/tw/dict/bible/names/nahum
1:2	h3wf	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	r896	keyterm	קַנּ֤וֹא	1	rc://*/tw/dict/bible/kt/jealous
1:2	tday		וְ⁠נֹקֵם֙	1	rc://*/tw/dict/bible/other/avenge
1:2	h85x	keyterm	אֵ֣ל	1	rc://*/tw/dict/bible/kt/god
1:2	q97v	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:2	ixc8		נֹקֵ֥ם	1	rc://*/tw/dict/bible/other/avenge
1:2	blgp	keyterm	וּ⁠בַ֣עַל	1	rc://*/tw/dict/bible/kt/lord
1:2	t9wu	keyterm	חֵמָ֑ה	1	rc://*/tw/dict/bible/kt/wrath
1:2	c9yu	keyterm	יְהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
1:2	f9iv		נֹקֵ֤ם	1	rc://*/tw/dict/bible/other/avenge
1:2	j2uf		לְ⁠צָרָ֔י⁠ו	1	rc://*/tw/dict/bible/other/adversary
1:2	x34d		לְ⁠אֹיְבָֽי⁠ו	1	rc://*/tw/dict/bible/other/adversary
1:3	mt25	keyterm	יְהֹוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:3	yagh	keyterm	יְהוָ֗ה	1	rc://*/tw/dict/bible/kt/yahweh
1:4	dq5e	name	לְבָנ֖וֹן	1	rc://*/tw/dict/bible/names/lebanon
1:4	kefd	name	בָּשָׁן֙	1	rc://*/tw/dict/bible/names/bashan
1:4	l9mm	name	וְ⁠כַרְמֶ֔ל	1	rc://*/tw/dict/bible/names/carmel
1:4	mgh4		גּוֹעֵ֤ר	1	rc://*/tw/dict/bible/other/rebuke
1:4	luib	name	הַ⁠נְּהָר֖וֹת	1	rc://*/tw/dict/bible/names/euphrates
1:5	xamf		רָעֲשׁ֣וּ	1	rc://*/tw/dict/bible/other/tremble
1:5	m8tz		הָ⁠אָ֨רֶץ֙	1	rc://*/tw/dict/bible/other/earth
1:5	q2jn	keyterm	וְ⁠תֵבֵ֖ל	1	rc://*/tw/dict/bible/kt/world
1:6	b65d	keyterm	חֲמָת⁠וֹ֙	1	rc://*/tw/dict/bible/kt/wrath
1:7	k94b	keyterm	ט֣וֹב	1	rc://*/tw/dict/bible/kt/good
1:7	gejn		לְ⁠מָע֖וֹז	1	rc://*/tw/dict/bible/other/stronghold
1:7	xu63		בְּ⁠י֣וֹם	1	rc://*/tw/dict/bible/other/biblicaltimeday
1:7	b2rt	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:7	v7dm		צָרָ֑ה	1	rc://*/tw/dict/bible/other/trouble
1:7	mszt		וְ⁠יֹדֵ֖עַ	1	rc://*/tw/dict/bible/other/know-relationship
1:7	fewg		חֹ֥סֵי	1	rc://*/tw/dict/bible/other/refuge
1:7	ldyd	keyterm	בֽ⁠וֹ	1	rc://*/tw/dict/bible/kt/god
1:8	fdo2		כָּלָ֖ה	1	rc://*/tw/dict/bible/other/destroyer
1:8	b581		וּ⁠בְ⁠שֶׁ֣טֶף	1	rc://*/tw/dict/bible/other/flood
1:8	k6vu		וְ⁠אֹיְבָ֖י⁠ו	1	rc://*/tw/dict/bible/other/adversary
1:9	j6mw	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
1:9	c3sj		צָרָֽה	1	rc://*/tw/dict/bible/other/trouble
1:10	wwrz		סִירִ֣ים	1	rc://*/tw/dict/bible/other/thorn
1:10	fa50		סְבוּאִ֑ים	1	rc://*/tw/dict/bible/other/drunk
1:10	g67m		אֻ֨כְּל֔וּ	1	rc://*/tw/dict/bible/other/devour
1:11	tzjc	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
1:11	bmb3	keyterm	רָעָ֑ה	1	rc://*/tw/dict/bible/kt/evil
1:11	w2ct		יֹעֵ֖ץ	1	rc://*/tw/dict/bible/other/counselor
